ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अकेश	akeśa	adj.	hairless
अकोप्य	akopya	adj.	not to be disregarded
अकोविद	akovida	adj.	ignorant
अकोविद	akovida	adj.	unwise
अक्का	akkā	f.	procuress
अक्त	akta	adj.	bedaubed
अक्त	akta	adj.	characteriśed.
अक्त	akta	adj.	diffused
अक्त	akta	adj.	driven
अक्त	akta	adj.	smeared over
अक्त	akta	adj.	tinged
अक्त	akta	n.	oil
अक्त	akta	n.	ointment
अक्ति	akti	f.	ointment
अक्तु	aktu	m.	darkness
अक्तु	aktu	m.	dark tinge
अक्तु	aktu	m.	light
अक्तु	aktu	m.	night
अक्तु	aktu	m.	ray
अक्तु	aktu	m.	tinge
अक्नोपन	aknopana	adj.	drying
अक्नोपन	aknopana	adj.	not moistening
अक्र	akra	adj.	inactive
अक्र	akra	m.	banner
अक्र	akra	m.	fence
अक्र	akra	m.	fortification
अक्र	akra	m.	horse
अक्र	akra	m.	rampart
अक्र	akra	m.	wall
अक्रतु	akratu	adj.	foolish
अक्रन्दित	akrandita	adj.	not pressed
अक्रम	akrama	adj.	happening at once
अक्रम	akrama	adj.	not happening successively
अक्रम	akrama	m.	confusion
अक्रमम्	akramam	ind.	not by degrees
अक्रमम्	akramam	ind.	simultaneously
अक्रविहस्त	akravihasta	adj.	not having bloody hands
अक्रव्याद	akravyāda	adj.	not carnivorous
अक्रव्याद्	akravyād	adj.	not carnivorous
अक्रान्त	akrānta	adj.	not doubled
अक्रान्त	akrānta	adj.	unconquered
अक्रान्त	akrānta	adj.	unsurpassed
अक्रिय	akriya	adj.	abstaining from religious rites
अक्रिय	akriya	adj.	impious
अक्रिय	akriya	adj.	inactive
अक्रिय	akriya	adj.	without works
अक्रिया	akriyā	f.	inactivity
अक्रीत	akrīta	adj.	not bought
अक्रूर	akrūra	adj.	gentle
अक्रूर	akrūra	adj.	manly
अक्रोध	akrodha	adj.	manly
अक्लिष्ट	akliṣṭa	adj.	undisturbed
अक्लिष्ट	akliṣṭa	adj.	untroubled
अक्लिष्ट	akliṣṭa	adj.	unwearied
अक्लिष्टकर्मन्	akliṣṭakarman	adj.	unwearied in action
अक्लिष्टकारिन्	akliṣṭakārin	adj.	unwearied in action
अक्लिष्टव्रत	akliṣṭavrata	adj.	unwearied in keeping religious vows
अक्लीब	aklība	adj.	manly
अक्लेद्य	akledya	adj.	not to be wetted
अक्ष	akṣa	m.	axis  [ computer ]
अक्ष	akṣa	m.	axle
