ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अवलोकन	avalokana	n.	the aspect
अवलोकन	avalokana	n.	view
अवलोकन	avalokana	n.	viewing
अवलोकन	avalokana	n.	vista
अवलोकयति	avalokayati	verb	observe
अवलोकयति { अव- लोक् }	avalokayati  { ava- lok }	verb 10	notice
अवलोकयति { अव- लोक् }	avalokayati  { ava- lok }	verb 10	view
अवलोकयति { अव- लोक् }	avalokayati  { ava- lok }	verb	look at
अवलोकयति { अव- लोक् }	avalokayati  { ava- lok }	verb	perceive
अवलोकयति { अव- लोक् }	avalokayati  { ava- lok }	verb	see
अवलोकयितृ	avalokayitṛ	adj.	one who views
अवलोकित	avalokita	adj.	observed
अवलोकित	avalokita	adj.	seen viewed
अवलोकित	avalokita	adj.	viewed by
अवलोकित	avalokita	n.	beholding
अवलोकितेश्वर	avalokiteśvara	m.	most widely revered Bodhisattva  [ ṃahayana Buddhism ]
अवलोकिन्	avalokin	adj.	beholding
अवलोकिन्	avalokin	adj.	looking
अवलोकिन्	avalokin	adj.	looking at
अवलोक्य	avalokya	adj.	to be looked at
अवलोक्य	avalokya	gerund	having seen
अवलोप	avalopa	m.	hurting
अवलोप	avalopa	m.	interruption
अवलोप	avalopa	m.	wounding
अवल्गुज	avalguja	m.	ironwood plant  [ Vernonia ānthelmintica - Bot. ]
अववदित	avavadita	adj.	instructed
अववदित	avavadita	adj.	taught
अववदितृ	avavaditṛ	m.	one who speaks finally
अववदितृ	avavaditṛ	m.	who gives the definitive opinion
अववर्जति { अव- वृज् }	avavarjati  { ava- vṛj }	verb 7	turn
अववर्जति { अववृज् }	avavarjati  { avavṛj }	verb caus.	remove
अववर्जति { अववृज् }	avavarjati  { avavṛj }	verb	separate
अववर्षति { अव- वृष् }	avavarṣati  { ava- vṛṣ }	verb 1 tr.	water  [ plants ]
अववाद	avavāda	m.	command
अववाद	avavāda	m.	confidence
अववाद	avavāda	m.	evil report
अववाद	avavāda	m.	instruction
अववाद	avavāda	m.	order
अववाद	avavāda	m.	speaking ill of
अववाद	avavāda	m.	teaching
अववाद	avavāda	m.	trust
अववादक	avavādaka	m.	spiritual instructor
अवविध्यति { अवव्यध् }	avavidhyati  { avavyadh }	verb	deprive of
अववृष्ट	avavṛṣṭa	adj.	rained upon
अववेति { अववी }	avaveti  { avavī }	verb	eat
अववेति { अववी }	avaveti  { avavī }	verb	enjoy
अवव्रश्च	avavraśca	m.	splinter chip
अवव्रश्चति { अवव्रश्च् }	avavraścati  { avavraśc }	verb	cut off
अवव्रश्चति { अवव्रश्च् }	avavraścati  { avavraśc }	verb	splinter
अवश	avaśa	adj.	doing something against one's desire or unwillingly
अवश	avaśa	adj.	free
अवश	avaśa	adj.	helpless
अवश	avaśa	adj.	independent
अवश	avaśa	adj.	not having one's own free will
अवश	avaśa	adj.	not submissive
अवश	avaśa	adj.	unrestrained
अवश	avaśa	adj.	unsubmissive to another's will
अवशप्त	avaśapta	adj.	cursed
अवशर्ण	avaśarṇa	adj.	broken
अवशर्ण	avaśarṇa	adj.	shattered
अवशर्धयति { अवशृध् }	avaśardhayati  { avaśṛdh }	verb	break wind against
अवशर्धयति { अवशृध् }	avaśardhayati  { avaśṛdh }	verb	defy
अवशर्धयति { अवशृध् }	avaśardhayati  { avaśṛdh }	verb	mock
अवशर्धयितृ	avaśardhayitṛ	m.	one who breaks wind upon or against
अवशातन	avaśātana	n.	drying up
अवशातन	avaśātana	n.	withering
अवशान्त	avaśānta	adj.	extinguished
अवशिन्	avaśin	adj.	not exercising one's own will
अवशिन्	avaśin	adj.	not having one's own free will
अवशिन्	avaśin	adj.	not independent
अवशिशाति { अवशि }	avaśiśāti  { avaśi }	verb	deliver from
अवशिशाति { अवशि }	avaśiśāti  { avaśi }	verb	remove
अवशिष्ट	avaśiṣṭa	adj.	left
अवशिष्ट	avaśiṣṭa	adj.	remaining
अवशिष्ट	avaśiṣṭa	m.	survivor
अवशिष्ट	avaśiṣṭa	n.	remainder
अवशिष्ट	avaśiṣṭa	n.	rest
अवशिष्टक	avaśiṣṭaka	n.	remainder
अवशिष्यते { अवशिष् }	avaśiṣyate  { avaśiṣ }	verb	be left as a remnant
अवशीतश्यात	avaśītaśyāta	adj.	cool
अवशीतश्यात	avaśītaśyāta	adj.	cooled
अवशीन	avaśīna	adj.	coagulated
अवशीनश्यान	avaśīnaśyāna	adj.	coagulated
अवशीभूत	avaśībhūta	adj.	independent
अवशीभूत	avaśībhūta	adj.	uninfluenced by magic
अवशीभूत	avaśībhūta	adj.	unrestrained
अवशीर्यते { अवशॄ }	avaśīryate  { avaśṛṛ }	verb pass.	fly in every direction
अवशीर्यते { अवशॄ }	avaśīryate  { avaśṛṛ }	verb pass.	to be dispersed
अवशृणोति { अवशॄ }	avaśṛṇoti  { avaśṛṛ }	verb	break
अवशेष	avaśeṣa	m.	balance
अवशेष	avaśeṣa	m.	relic
अवशेष	avaśeṣa	m.	remains
अवशेष	avaśeṣa	m.	remnant
अवशेष	avaśeṣa	m.	rest
अवशेष	avaśeṣa	n.	leavings
अवशेष	avaśeṣa	n.	remainder
अवशेषयति { अवशिष् }	avaśeṣayati  { avaśiṣ }	verb caus.	leave as a remnant
अवशेषयति { अवशिष् }	avaśeṣayati  { avaśiṣ }	verb	remain
अवशेषित	avaśeṣita	adj.	left as a remnant
अवशेषित	avaśeṣita	adj.	remaining
अवश्चोतति { अवश्चुत् }	avaścotati  { avaścut }	verb	trickle down
अवश्य	avaśya	adj.	indispensable
अवश्य	avaśya	adj.	necessary
अवश्य	avaśya	ind.	at all events
अवश्य	avaśya	ind.	by all means
अवश्य	avaśya	ind.	certainly
अवश्य	avaśya	ind.	disobedient
अवश्य	avaśya	ind.	inevitably
अवश्य	avaśya	ind.	necessarily
अवश्यकार्य	avaśyakārya	adj.	to be necessarily done
अवश्यकार्य	avaśyakārya	n.	necessary performances
अवश्यत्व	avaśyatva	n.	being necessarily
अवश्यपाच्य	avaśyapācya	adj.	to be necessarily cooked
अवश्यभागीयक	avaśyabhāgīyaka	adj.	inevitable
अवश्यमेव	avaśyameva	adverb	naturally
अवश्यम्	avaśyam	adverb	indeed
अवश्यम्	avaśyam	adverb	inevitably
अवश्यम्	avaśyam	ind.	at all events
अवश्यम्	avaśyam	indecl.	must
अवश्यम्	avaśyam	ind.	most surely
अवश्यम्	avaśyam	ind.	necessarily
अवश्यम् एव	avaśyam eva	phrase	most surely
अवश्यम्भाविता	avaśyambhāvitā	f.	being necessarily
अवश्यम्भाविन्	avaśyambhāvin	adj.	necessarily being
अवश्ययातव्यता	avaśyayātavyatā	f.	necessity of marching against an enemy
अवश्या	avaśyā	f.	dew
अवश्या	avaśyā	f.	hoar-frost
अवश्याय	avaśyāya	m.	dew
अवश्याय	avaśyāya	m.	hoar frost
अवश्याय	avaśyāya	m.	pride
अवश्याय	avaśyāya	m.	snow
अवश्यायाङ्क	avaśyāyāṅka	m.	dew point  [ Physical Chem. ]
अवश्यं आगच्छामि	avaśyaṃ āgacchāmi	sent.	Certainly, ī will  come.
अवश्यं आगन्तव्यं, न विस्मर्तव्यम्	avaśyaṃ āgantavyaṃ, na vismartavyam	sent.	ḍon't forget, please do come.
अवश्यं तत्रैव आगच्छामि	avaśyaṃ tatraiva āgacchāmi	sent.	ī'll come there without fail.
अवश्यं मम गृहं आगन्तव्यम्	avaśyaṃ mama gṛhaṃ āgantavyam	sent.	ḍo certainly call on us.
अवश्यं सूचयामि	avaśyaṃ sūcayāmi	sent.	Certainly ī will inform him.
अवश्यं स्मृत्वा आनयन्तु	avaśyaṃ smṛtvā ānayantu	sent.	Certainly, without forgetting, bring it.
अवष्टब्ध	avaṣṭabdha	adj.	approaching
अवष्टब्ध	avaṣṭabdha	adj.	arrested
अवष्टब्ध	avaṣṭabdha	adj.	barred  [ Com. ]
अवष्टब्ध	avaṣṭabdha	adj.	being near
अवष्टब्ध	avaṣṭabdha	adj.	grasped
अवष्टब्ध	avaṣṭabdha	adj.	resting on
अवष्टब्ध	avaṣṭabdha	adj.	seiśed
अवष्टब्ध	avaṣṭabdha	adj.	standing firm
अवष्टब्ध	avaṣṭabdha	adj.	standing near
अवष्टब्ध	avaṣṭabdha	adj.	supported by
अवष्टब्धता	avaṣṭabdhatā	f.	rigidity
अवष्टब्धता	avaṣṭabdhatā	f.	stiffness
अवष्टब्नोति { अव- ष्टम्भ् }	avaṣṭabnoti  { ava- ṣṭambh }	verb	barricade
अवष्टम्भ	avaṣṭambha	m.	applying
अवष्टम्भ	avaṣṭambha	m.	beginning
अवष्टम्भ	avaṣṭambha	m.	gold
अवष्टम्भ	avaṣṭambha	m.	having recourse to anything
अवष्टम्भ	avaṣṭambha	m.	impediment
अवष्टम्भ	avaṣṭambha	m.	leaning or resting upon
अवष्टम्भ	avaṣṭambha	m.	monk
अवष्टम्भ	avaṣṭambha	m.	obstruction
अवष्टम्भ	avaṣṭambha	m.	post or pillar
अवष्टम्भ	avaṣṭambha	m.	resoluteness
अवष्टम्भ	avaṣṭambha	m.	self-confidence
अवष्टम्भ	avaṣṭambha	m.	support  [ computer ]
अवष्टम्भमय	avaṣṭambhamaya	adj.	shot with resoluteness
अवष्टम्भ्नाति { अवष्टम्भ् }	avaṣṭambhnāti  { avaṣṭambh }	verb	arrest
अवष्टम्भ्नाति { अवष्टम्भ् }	avaṣṭambhnāti  { avaṣṭambh }	verb	seiśe
अवष्टम्भ्नोति { अवष्टम्भ् }	avaṣṭambhnoti  { avaṣṭambh }	verb	bar
अवष्टम्भ्नोति { अवष्टम्भ् }	avaṣṭambhnoti  { avaṣṭambh }	verb	barricade  
अवष्टम्भ्नोति { अवष्टम्भ् }	avaṣṭambhnoti  { avaṣṭambh }	verb	lean or rest upon
अवष्टंभ	avaṣṭaṃbha	m.	pillar
अवष्टंभ	avaṣṭaṃbha	m.	supporter
अवष्वणति { अवष्वन् }	avaṣvaṇati  { avaṣvan }	verb	smack (one's lips) or otherwise make a noise in eating
अवष्वाण	avaṣvāṇa	m.	noisy eating
अवष्वाण	avaṣvāṇa	m.	smacking
अवस	avasa	n.	food that has feet i.e. cattle
अवस	avasa	n.	provisions
अवस	avasa	n.	refreshment
अवस	avasa	n.	viaticum
अवसक्त	avasakta	adj.	attached to
अवसक्त	avasakta	adj.	being in contact with
अवसक्त	avasakta	adj.	belonging to
अवसक्त	avasakta	adj.	bound round
अवसक्त	avasakta	adj.	charged with
अवसक्त	avasakta	adj.	hung
अवसक्त	avasakta	adj.	hung with
अवसक्त	avasakta	adj.	suspended from
अवसक्थिका	avasakthikā	f.	sitting on the hams
अवसज्जति { अवसञ्ज् }	avasajjati  { avasañj }	verb	append
अवसज्जति { अवसञ्ज् }	avasajjati  { avasañj }	verb	suspend
अवसज्जते { अवसञ्ज् }	avasajjate  { avasañj }	verb	not leave undisturbed
अवसञ्चक्ष्य	avasañcakṣya	adj.	to be shunned or avoided
अवसञ्जन	avasañjana	n.	Brahmanical thread hanging over the shoulder
अवसथ	avasatha	m.	college
अवसथ	avasatha	m.	habitation
अवसथ	avasatha	m.	school
अवसथ	avasatha	m.	village
अवसथ	avasatha	n.	dwelling
अवसथ	avasatha	n.	house
अवसथ्य	avasathya	adj.	belonging to a house
अवसथ्य	avasathya	adj.	domestic
अवसथ्य	avasathya	m.	college
अवसथ्य	avasathya	m.	school
अवसन्न	avasanna	adj.	beaten in a cause
अवसन्न	avasanna	adj.	deep
अवसन्न	avasanna	adj.	deposited
अवसन्न	avasanna	adj.	dispirited
अवसन्न	avasanna	adj.	distressed
अवसन्न	avasanna	adj.	languid
अवसन्न	avasanna	adj.	pressed down
अवसन्न	avasanna	adj.	sunk down
अवसन्न	avasanna	adj.	sunken
अवसन्न	avasanna	adj.	unhappy
अवसन्न	avasanna	ppp.	ended
अवसन्न	avasanna	ppp.	terminated
अवसभा	avasabhā	f.	excluded from a (husband's) company
अवसभा	avasabhā	f.	fallen into wrong( i.e., into men's) company
अवसर	avasara	ind.	at the right moment
अवसर	avasara	m	advantageous situation
अवसर	avasara	m.	appropriate place for anything
अवसर	avasara	m.	chance
अवसर	avasara	m.	leisure
अवसर	avasara	m	moment
अवसर	avasara	m.	occasion
अवसर	avasara	m	opportunity
अवसर	avasara	m.	rain
अवसर	avasara	m.	scope
अवसरपाठक	avasarapāṭhaka	m.	bard
अवसरपाठक	avasarapāṭhaka	m.	panegyrist
अवसर्ग	avasarga	m.	following one's own inclinations
अवसर्ग	avasarga	m.	independence
अवसर्ग	avasarga	m.	laxity
अवसर्ग	avasarga	m.	letting go
अवसर्ग	avasarga	m.	letting loose
अवसर्ग	avasarga	m.	relaxation
अवसर्पण	avasarpaṇa	n.	descent
अवसर्पति	avasarpati	verb	slide
अवसर्पति { अव- सृप् }	avasarpati  { ava- sṛp }	verb 1	flow back  [ sea in low tide ]
अवसर्पति { अव- सृप् }	avasarpati  { ava- sṛp }	verb 1	glide off
अवसर्पति { अव- सृप् }	avasarpati  { ava- sṛp }	verb 1	set  [ sun ]
अवसर्पति { अव- सृप् }	avasarpati  { ava- sṛp }	verb 1	slip
अवसर्पति { अव- सृप् }	avasarpati  { ava- sṛp }	verb 1	slip off
अवसर्पति { अवसृप् }	avasarpati  { avasṛp }	verb	creep to or approach unawares
अवसर्पति { अवसृप् }	avasarpati  { avasṛp }	verb	flow over gradually
अवसर्पति { अवसृप् }	avasarpati  { avasṛp }	verb	set    [ said of the sun ]
अवसर्पन	avasarpana	m.	one who approaches unawares
अवसर्पन	avasarpana	m.	spy
अवसर्पिणी	avasarpiṇī	f.	descending period of a long duration and alternating with the ascending one
अवसर्पिणी	avasarpiṇī	f.	going or gliding down gradually
अवसर्पिणी	avasarpiṇī	f.	slide
अवसा	avasā	f.	deliverance
अवसाद	avasāda	m.	badness of a cause
अवसाद	avasāda	m.	defeat
अवसाद	avasāda	m.	deposit
अवसाद	avasāda	m.	end
अवसाद	avasāda	m.	failing exhaustion
अवसाद	avasāda	m.	fatigue
अवसाद	avasāda	m.	growing faint
अवसाद	avasāda	m.	lassitude
अवसाद	avasāda	m.	sinking  [ into chair ]
अवसाद	avasāda	m.	termination
अवसाद	avasāda	m.	want of energy or spirit
अवसादक	avasādaka	adj.	causing to sink
अवसादक	avasādaka	adj.	ending
अवसादक	avasādaka	adj.	exhausting
अवसादक	avasādaka	adj.	finishing
अवसादक	avasādaka	adj.	frustrating
अवसादक	avasādaka	adj.	tiresome
अवसादक	avasādaka	adj.	wearisome
अवसादन	avasādana	n.	deposition
अवसादन	avasādana	n.	disheartening
अवसादन	avasādana	n.	escharotic
अवसादन	avasādana	n.	oppressing
अवसादन	avasādana	n.	removing proud flesh by escharotic applications
अवसादन	avasādana	n.	state of being disheartened
अवसादना	avasādanā	f.	discouragement
अवसादना	avasādanā	f.	humiliation
अवसादनाविनेय	avasādanāvineya	adj.	to be taught by discouragement
अवसादयति { अवसद् }	avasādayati  { avasad }	verb caus.	cause to sink
अवसादयति { अवसद् }	avasādayati  { avasad }	verb caus.	dispirit
अवसादयति { अवसद् }	avasādayati  { avasad }	verb caus.	frustrate
अवसादयति { अव- सद् }	avasādayati  { ava- sad }	verb caus.	pull down
अवसादयति { अवसद् }	avasādayati  { avasad }	verb caus.	render downhearted
अवसादयति { अवसद् }	avasādayati  { avasad }	verb caus.	ruin
अवसादित	avasādita	adj.	deposited
अवसादित	avasādita	adj.	dispirited
अवसादित	avasādita	adj.	exhausted
अवसादित	avasādita	adj.	frustrated
अवसादित	avasādita	adj.	made to sink
अवसान	avasāna	adj.	not dressed
अवसान	avasāna	n.	boundary
अवसान	avasāna	n.	building site
अवसान	avasāna	n.	cessation
अवसान	avasāna	n.	closure
अवसान	avasāna	n.	conclusion
अवसान	avasāna	n.	construction site
अवसान	avasāna	n.	death
अवसान	avasāna	n.	end
अवसान	avasāna	n.	ending
अवसान	avasāna	n.	end of a phrase
अवसान	avasāna	n.	end of a word
अवसान	avasāna	n.	end of the line of a verse or the line of a verse itself
अवसान	avasāna	n.	finish
अवसान	avasāna	n.	last part of a compound or period
अवसान	avasāna	n.	limit
अवसान	avasāna	n.	lot  [ building ]
अवसान	avasāna	n.	place chosen or selected for being built upon
अवसान	avasāna	n.	plot  [ building ]
अवसान	avasāna	n.	residence
अवसान	avasāna	n.	resting-place
अवसान	avasāna	n.	site  [ building ]
अवसान	avasāna	n.	stopping
अवसान	avasāna	n.	termination
अवसान	avasāna	n.	where the horses are unharnessed
अवसानक	avasānaka	adj.	attaining an end by
अवसानदर्श	avasānadarśa	adj.	looking at one's place of destination or residence seeing the end of
अवसानपद	avasānapada	n.	breakpoint  [ computer ]
अवसानस्थान	avasānasthāna	n.	breakpoint  [ computer ]
अवसाय	avasāya	m.	ascertainment
अवसाय	avasāya	m.	conclusion
अवसाय	avasāya	m.	determination
अवसाय	avasāya	m.	end
अवसाय	avasāya	m.	remainder
अवसाय	avasāya	m.	termination
अवसायक	avasāyaka	adj.	destructive
अवसायिन्	avasāyin	adj.	settling
अवसायिन्	avasāyin	adj.	taking up one's abode
अवसिक्त	avasikta	adj.	sprinkled
अवसिञ्चति { अवसिच् }	avasiñcati  { avasic }	verb	sprinkle
अवसित	avasita	adj.	ascertained
अवसित	avasita	adj.	being at end of the line of a verse
अवसित	avasita	adj.	brought to his abode
अवसित	avasita	adj.	completed
अवसित	avasita	adj.	determined
अवसित	avasita	adj.	ended
अवसित	avasita	adj.	finished
अवसित	avasita	adj.	fixed
अवसित	avasita	adj.	gone
अवसित	avasita	adj.	known
अवसित	avasita	adj.	one who has given up anything
अवसित	avasita	adj.	one who has put up at any place
अवसित	avasita	adj.	one who is determined to
अवसित	avasita	adj.	resides
अवसित	avasita	adj.	rests
अवसित	avasita	adj.	stored
अवसित	avasita	adj.	terminated
अवसित	avasita	adj.	understood
अवसित	avasita	adj.	who dwells
अवसित	avasita	n.	dwelling-place
अवसितकार्य	avasitakārya	adj.	satisfied
अवसिति	avasiti	f.	conclusion
अवसिति	avasiti	f.	end
अवसीदति { अव- सद् }	avasīdati  { ava- sad }	verb 1	cast down
अवसीदति { अव- सद् }	avasīdati  { ava- sad }	verb 1	come to naught
अवसीदति { अव- सद् }	avasīdati  { ava- sad }	verb 1	ease off
अवसीदति { अव- सद् }	avasīdati  { ava- sad }	verb 1	settle
अवसीदति { अव- सद् }	avasīdati  { ava- sad }	verb 1	sink down
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	become exhausted
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	come to an end
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	disheartened
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	faint
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	grow lean
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	perish
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	sink  [ into water ]
अवसीदति { अवसद् }	avasīdati  { avasad }	verb	slacken
अवसुप्त	avasupta	adj.	asleep
अवसुषिरा	avasuṣirā	f.	neck
अवसृजति { अव- सृज् }	avasṛjati  { ava- sṛj }	verb 6, 1	abandon
अवसृजति { अव- सृज् }	avasṛjati  { ava- sṛj }	verb 6, 1	dismiss
अवसृजति { अव- सृज् }	avasṛjati  { ava- sṛj }	verb 6, 1	let go
अवसृजति { अव- सृज् }	avasṛjati  { ava- sṛj }	verb 6, 1	let loose
अवसृजति { अव- सृज् }	avasṛjati  { ava- sṛj }	verb 6, 1	let off
अवसृजति { अव- सृज् }	avasṛjati  { ava- sṛj }	verb 6, 1	send
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	bring forth
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	deliver
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	fling
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	form
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	give up  [ one's anger ]
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	pardon  
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	produce
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	shape
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	surrender
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	throw  [ as arrows or the thunderbolt ]
अवसृजति { अवसृज् }	avasṛjati  { avasṛj }	verb	throw or put into
अवसृजते { अवसृज् }	avasṛjate  { avasṛj }	verb	lose energy and power
अवसृजते { अवसृज् }	avasṛjate  { avasṛj }	verb	relax
अवसृष्ट	avasṛṣṭa	adj.	brought forth
अवसृष्ट	avasṛṣṭa	adj.	dismissed
अवसृष्ट	avasṛṣṭa	adj.	fallen down from or upon
अवसृष्ट	avasṛṣṭa	adj.	let loose
अवसृष्ट	avasṛṣṭa	adj.	made over
अवसृष्ट	avasṛṣṭa	adj.	sent
अवसृष्ट	avasṛṣṭa	adj.	thrown
अवसेक	avaseka	m.	administering a clyster
अवसेक	avaseka	m.	bleeding
अवसेक	avaseka	m.	irrigating
अवसेक	avaseka	m.	sprinkling
अवसेक	avaseka	m.	syringing
अवसेचन	avasecana	n.	bathing
अवसेचन	avasecana	n.	bleeding
अवसेचन	avasecana	n.	sprinkling
अवसेचन	avasecana	n.	water used for irrigating
अवसेय	avaseya	adj.	be destroyed
अवसेय	avaseya	adj.	be learnt
अवसेय	avaseya	adj.	be made out
अवसेय	avaseya	adj.	be understood
अवसेय	avaseya	adj.	to be ascertained
अवसेय	avaseya	adj.	to be brought to a close
अवसोयति { अव- सो }	avasoyati  { ava- so }	verb 4 Par	result in
अवस्	avas	ind.	below
अवस्	avas	ind.	down from
अवस्	avas	ind.	downwards
अवस्	avas	n.	assistance
अवस्	avas	n.	desire
अवस्	avas	n.	enjoyment
अवस्	avas	n.	favour
अवस्	avas	n.	furtherance
अवस्	avas	n.	pleasure
अवस्	avas	n.	protection
अवस्	avas	n.	refreshing
अवस्	avas	n.	wish
अवस्कन्द	avaskanda	m.	assault
अवस्कन्द	avaskanda	m.	attack  [ milit. ]
अवस्कन्द	avaskanda	m.	storm
अवस्कन्दति { अव- स्कन्द् }	avaskandati  { ava- skand }	verb 1 Par	approach hastening
अवस्कन्दति { अव- स्कन्द् }	avaskandati  { ava- skand }	verb 1 Par	storm
अवस्कन्दति { अवस्कन्द् }	avaskandati  { avaskand }	verb	approach hastening from
अवस्कन्दति { अवस्कन्द् }	avaskandati  { avaskand }	verb	assault  [ as a city ]
अवस्कन्दति { अवस्कन्द् }	avaskandati  { avaskand }	verb	jump down from
अवस्कन्दन	avaskandana	n.	accusation  [ law ]
अवस्कन्दन	avaskandana	n.	attack
अवस्कन्दन	avaskandana	n.	bathing
अवस्कन्दन	avaskandana	n.	descending
अवस्कन्दन	avaskandana	n.	onset
अवस्कन्दन	avaskandana	n.	rushing on
अवस्कन्दित	avaskandita	adj.	accused
अवस्कन्दित	avaskandita	adj.	attacked
अवस्कन्दित	avaskandita	adj.	bathed
अवस्कन्दित	avaskandita	adj.	bathing
अवस्कन्दित	avaskandita	adj.	gone down
अवस्कन्दित	avaskandita	adj.	refuted
अवस्कन्दिन्	avaskandin	adj.	attacking
अवस्कन्दिन्	avaskandin	adj.	covering
अवस्कन्न	avaskanna	adj.	attacked
अवस्कन्न	avaskanna	adj.	overpowered
अवस्कन्न	avaskanna	adj.	spilt
अवस्कर	avaskara	m.	closet
अवस्कर	avaskara	m.	cull
अवस्कर	avaskara	m.	faeces
अवस्कर	avaskara	m.	ordure
अवस्कर	avaskara	m.	place for faeces
अवस्कर	avaskara	m.	place for sweepings
अवस्कर	avaskara	m.	privy
अवस्कर	avaskara	m.	toilet
अवस्कर	avaskara	m.	trash
अवस्कर	avaskara	m.	wastrel
अवस्कर	avaskara	m.	water closet
अवस्तब्ध	avastabdha	adj.	stiff
अवस्तरण	avastaraṇa	n.	blanket
अवस्तरण	avastaraṇa	n.	cover for a bed
अवस्तरण	avastaraṇa	n.	strewing
अवस्तात्	avastāt	ind.	before
अवस्तात्	avastāt	ind.	below
अवस्तान	avastāna	n.	railroad station  [ amer. ]
अवस्तान	avastāna	n.	railway station
अवस्तान	avastāna	n.	train station
अवस्तार	avastāra	m.	bed
अवस्तार	avastāra	m.	litter
अवस्तीर्ण	avastīrṇa	adj.	strewed
अवस्तु	avastu	n.	unreality of matter
अवस्तु	avastu	n.	unreal thing
अवस्तुता	avastutā	f.	unreality
अवस्तुत्व	avastutva	n.	unreality
अवस्तृणाति { अवस्तॄ }	avastṛṇāti  { avastṛṛ }	verb	strew
अवस्त्र	avastra	adj.	naked
अवस्त्रता	avastratā	f.	nakedness
अवस्थ	avastha	m.	penis
अवस्था	avasthā	f.	appearance (in a court of justice)
अवस्था	avasthā	f.	condition
अवस्था	avasthā	f.	constellation
अवस्था	avasthā	f.	female organs of generation
अवस्था	avasthā	f.	mode  [ computer ]
अवस्था	avasthā	f.	situation
अवस्था	avasthā	f.	state
अवस्थाचतुष्टय	avasthācatuṣṭaya	n.	four periods or states of human life
अवस्थातव्य	avasthātavya	n.	it is to be stayed or remained
अवस्थात्रय	avasthātraya	n.	three states
अवस्थात्रय	avasthātraya	n.	three states of consciousness - waking, dreaming, sound sleep
अवस्थादशक	avasthādaśaka	n.	ten states of lovers
अवस्थान	avasthāna	n.	abiding
अवस्थान	avasthāna	n.	condition
अवस्थान	avasthāna	n.	dwelling
अवस्थान	avasthāna	n.	residence
अवस्थान	avasthāna	n.	residing
अवस्थान	avasthāna	n.	situation
अवस्थान	avasthāna	n.	stability
अवस्थान	avasthāna	n.	standing
अवस्थान	avasthāna	n.	survival
अवस्थान	avasthāna	n.	taking up one's place
अवस्थानम	avasthānama	n.	offset  [ computer ]
अवस्थानियामकविधान	avasthāniyāmakavidhāna	n.	case control structure  [ computer ]
अवस्थान्तर	avasthāntara	n.	altered state
अवस्थापन	avasthāpana	n.	exposing
अवस्थापयति	avasthāpayati	verb caus.	leave behind
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	array
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	cause to enter or be absorbed in
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	cause to stand or stop  [ as a carriage ]
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	establish (by arguments)
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	fix
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	let behind
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	place upon
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	render solid or firm
अवस्थापयति { अवस्था }	avasthāpayati  { avasthā }	verb caus.	set
अवस्था-माला	avasthā-mālā	f.	condition series  [ ṃath. ]
अवस्थायिन्	avasthāyin	adj.	abiding in a particular condition
अवस्थायिन्	avasthāyin	adj.	staying residing in placed
अवस्थावन्	avasthāvan	adj.	possessed of stability
अवस्थित	avasthita	adj.	being incumbent upon
अवस्थित	avasthita	adj.	contained in
अवस्थित	avasthita	adj.	continuing to do anything
अवस्थित	avasthita	adj.	determined
अवस्थित	avasthita	adj.	engaged in
अवस्थित	avasthita	adj.	firm
अवस्थित	avasthita	adj.	fixed
अवस्थित	avasthita	adj.	following
अवस्थित	avasthita	adj.	giving one's self up to
अवस्थित	avasthita	adj.	having its place or abode
अवस्थित	avasthita	adj.	obeying or following
अवस्थित	avasthita	adj.	placed
अवस्थित	avasthita	adj.	practising
अवस्थित	avasthita	adj.	prosecuting
अवस्थित	avasthita	adj.	ready for
अवस्थित	avasthita	adj.	standing near
अवस्थित	avasthita	adj.	steady
अवस्थित	avasthita	adj.	to be relied on
